discription,name_author,picture,price,rattings,role,sub_title,tag_product,title,type_product,url
"From the editors behind Attack on Titan and Flowers of Evil comes a new action fantasy title that combines western mythology and supernatural beings with imagery of the American Wild West. Full of action and mythos that are all familiar to fantasy novel readers and role-playing gamers alike, Sacred Beasts is the next in the line of narrative based fantasy hits to come out of Japan., ""Hank has decided to team up with Claudes Incarnate extermination unit, Coup de Grace, for the time being. Their next target is Centaurus, guardian of the fortress at Bold Creek, whose regenerative abilities make him nigh immortal. And there have been rumors that Claudes brother and Hanks sworn enemy Cain Madhouse is at the fortress..."", ""Hanks original goal is to defeat Centaurus, but he ends up working with the government forces to capture the fortress at Bold Creek. In the final moments of battle, a devastating new weapon is deployed...""",Maybe,,14.25,51.0,Author,Paperback – 28 November 2017,,To the Abandoned Sacred Beasts 5,Manga,https://www.amazon.com.au//Abandoned-Sacred-Beasts-5/dp/1945054204/ref=sr_1_231?qid=1690094924&s=books&sr=1-231
"A FIREFIGHT ACROSS THE GENERATION GAP!, ""Nanotechnology made humanity immortal, and the resulting population explosion pushed the Solar Systems resources to the breaking point. As a result, new births are banned and even the planets disparate governments cooperate to annihilate any children already born. With the tournament looming, Alita and her comrades find themselves caught between a spacefaring refuge for young innocents and a bloodthirsty mob intent on killing the children for sport!""",Yukito Kishiro,,26.96,303.0,Author,"Paperback – Illustrated, 15 August 2013",,Battle Angel Alita Last Order Omnibus 2,Manga,https://www.amazon.com.au//Battle-Angel-Alita-Order-Omnibus/dp/1612622925/ref=sr_1_284?qid=1690094971&s=books&sr=1-284
"FACING ANNIHILATION, ""The Survey Corpss quest for the truth of the world inside the Walls has brought them back to Titan-infested Shiganshina District, a mere stones throw from Erens childhood home. They have come to execute Erwins final gambit, reclaiming Wall Maria and the secrets of humanitys past. But the Colossus Titan, the Armored Titan, and the Beast Titan have been waiting for them, and saving humanity will require the most difficult sacrifice the Corps has ever had to make...""",HAJIME ISAYAMA,,17.7,1167.0,Author,"Paperback – Illustrated, 3 January 2017",,Attack on Titan 20,Literature & Fiction,https://www.amazon.com.au//Attack-Titan-20-Hajime-Isayama/dp/1632363097/ref=sr_1_287?qid=1690094971&s=books&sr=1-287
"Memories of Mass Murder, MEMORIES OF MASS MURDER, "" On her way to retrieve Lous brain, Alita encounters a ghost from her past-an old mentor whose revelations shake Alitas very identity. Meanwhile Elf, Zw lf, and Sechs fight their deadly - and creepiest-enemies yet as the ZOTT rages on! But will the ARs have the mental fortitude to resist the psychically altered leader of the fearsome Starship Cult?""",Yukito Kishiro,,,178.0,Author,"Paperback – Illustrated, 15 February 2014",,Battle Angel Alita: Last Order Omnibus 3,Manga,https://www.amazon.com.au//Battle-Angel-Alita-Order-Omnibus/dp/1612622933/ref=sr_1_280?qid=1690094971&s=books&sr=1-280
"With creative direction and world-building by the inimitable Yoko Taro, the mind behind the , NieR , and , Drakengard , universes, comes..., SINoALICE, , a gorgeous and gory mobile RPG that blurs the line between dreams and reality, fairy tales and fact!, And now you can read the manga adaptation of the popular game!, Innocent lives pay the price as the Deathmatch Game rages on. Caught in a surprise raid, Alice and her companions struggle to stay alive-much less together-amid the chaos. Friendships are tested, desires are exposed, and the stage is set for a violent rematch!, Snow White aims to sabotage the game from the inside out. Cinderella thirsts for victory at all costs. When these fierce rivals clash, the Game Master behind every cruel twist and turn is finally revealed!",Yoko Taro,,21.0,,"Author,",Paperback – 7 November 2023,,SINoALICE 04,Manga,https://www.amazon.com.au//Sinoalice-04-Yoko-Taro/dp/1646091965/ref=sr_1_279?qid=1690094971&s=books&sr=1-279
"Stand Alone Complex takes place in the year 2030, in the fictional Japanese city of New Port. The story follows the members of Public Security Section 9, a special-operations task-force made up of former military officers and police detectives. The manga presents individual cases that Section 9 investigates, along with an ongoing, more serious investigation into the serial killer and hacker known only as “The Laughing Man.” When a high-ranking government official is kidnapped, the Prime Minister must call in his top crime fighting force known as Section 9. Lead by the beautiful and deadly Major Kusanagi, the cybernetically enhanced squad must use all their skill to take down the kidnappers and rescue the hostages. But that’s only half of the mission; can Kusanagi and company find out who’s behind the kidnapping, and, more importantly, just what they’re after? Find out in this thrilling first volume of The Ghost in the Shell: Stand Alone Complex!",Yu Kinutani,,22.99,140.0,"Author, Artist",Kindle & comiXology,,Ghost in the Shell: Stand Alone Complex Vol. 1,Comics & Graphic Novels,https://www.amazon.com.au//Ghost-Shell-Stand-Alone-Complex-ebook/dp/B01MRL0RI7/ref=sr_1_276?qid=1690094971&s=books&sr=1-276
"The prequel to the number one bestselling Attack on Titan and winner of the Diamond Gem Award for best manga continues!, The prequel to the number one bestselling Attack on Titan and winner of the Diamond Gem Award for best manga continues!, UNLIKELY PARTNERS, ""The Vertical Maneuvering Equipment, humanitys greatest weapon against the Titans, is designed at last, but theres a catch- Kuklo and the Survey Corps have only a short time to use it to successfully destroy a Titan, or the Corps will be disbanded for good. And even worse, an unlikely figure from Kuklos past will be taking part...""",Ryo Suzukaze,,14.49,131.0,Author,"Paperback – Illustrated, 3 April 2018",,Attack On Titan Before The Fall 13,Literature & Fiction,https://www.amazon.com.au//Attack-Titan-Before-Fall-13/dp/1632365367/ref=sr_1_277?qid=1690094971&s=books&sr=1-277
,Abi Umeda,,14.62,160.0,Author,Kindle & comiXology,,"Children of the Whales, Vol. 2",Comics & Graphic Novels,https://www.amazon.com.au//Children-Whales-Vol-Abi-Umeda-ebook/dp/B07V5DBNYD/ref=sr_1_281?qid=1690094971&s=books&sr=1-281
"In this postapocalyptic fantasy, a sea of sand swallows everything but the past., In an endless sea of sand drifts the Mud Whale, a floating island city of clay and magic. In its chambers a small community clings to survival, cut off from its own history by the shadows of the past., The battle for the Mud Whale becomes a deadly rout as the Marked fight to protect their home and their comrades from the invading apátheia soldiers. Meanwhile, Chakuro and the rest of the boarding party have made it safely onto the imperial battleship Skyros, but their mission turns bloody when they reach the thymia-proof chamber at the heart of the ship. How will they destroy the enemy Nous and save the Mud Whale without access to their powers?",Abi Umeda,,14.62,99.0,Author,Paperback – 10 June 2018,,"Children of the Whales, Vol. 4 (Volume 4)",Manga,https://www.amazon.com.au//Children-Whales-Vol-Abi-Umeda/dp/1421597241/ref=sr_1_273?qid=1690094971&s=books&sr=1-273
"In this postapocalyptic fantasy, a sea of sand swallows everything but the past., In an endless sea of sand drifts the Mud Whale, a floating island city of clay and magic. In its chambers a small community clings to survival, cut off from its own history by the shadows of the past., Neither fully human nor fully Nous, the emperor has had centuries to observe people and the sadness they cannot seem to escape. Determined to bring happiness to humanity, he will do anything to see his grand plan to fruition—even if it means\xa0bringing about\xa0the end of the world.",Abi Umeda,,14.62,4.0,Author,Paperback – 21 June 2023,,"Children of the Whales, Vol. 21 (Volume 21)",Manga,https://www.amazon.com.au//Children-Whales-Vol-21/dp/1974736105/ref=sr_1_228?qid=1690094924&s=books&sr=1-228
,Yoshiki Tonogai,,,1.0,Author,Paperback – 2 January 2024,,"Dead Company, Volume 1",Manga,https://www.amazon.com.au//Dead-Company-1-Yoshiki-Tonogai/dp/1427873747/ref=sr_1_226?qid=1690094924&s=books&sr=1-226
,Abi Umeda,,14.62,189.0,Author,Kindle & comiXology,,"Children of the Whales, Vol. 1",Comics & Graphic Novels,https://www.amazon.com.au//Children-Whales-Vol-Abi-Umeda-ebook/dp/B07V57V2WF/ref=sr_1_275?qid=1690094971&s=books&sr=1-275
"HUMANITY\S WORST NIGHTMARE Eren is still resting from his brutal fight with the female Titan, when word reaches the interior that the impossible has happened: Wall Rose itself has been breached, and Titans are pouring through the gap! The emergency casts new urgency over Armin and Hange\s questions about how the walls were built, and what humanity can do to restore them... ? ? PRAISE FOR THE HIT ANIME ""A visceral and fantastically intense action/horror story."" - Anime News Network ? ""Japan\s equivalent of The Walking Dead."" - io9",Hajime Isayama,,17.5,1667.0,"Author, Artist",Kindle & comiXology,,Attack on Titan Vol. 9,Comics & Graphic Novels,https://www.amazon.com.au//Attack-Titan-Vol-Hajime-Isayama-ebook/dp/B00EUFZ812/ref=sr_1_111?qid=1690094918&s=books&sr=1-111
"From acclaimed mangaka Tsutomu Nihei, the creator and artist behind BLAME! and Knights of Sidonia, comes his newest Science Fiction epic., From acclaimed mangaka Tsutomu Nihei, the creator and artist behind BLAME! and Knights of Sidonia, comes his newest Science Fiction epic., The artificial celestial body Aposimz measures 120,000 km in diameter. , Most of its volume is its core space, which is covered by a superstructural shell., Fifty centuries ago, the people who lost the war against the core lost their right to reside legitimately on Aposimz, and were stranded on the frigid surface., They face rampant Frame Disease and aggressive automatons which appear frequently on the Ruins Level., Yet even so, somehow the people survive.",Tsutomu Nihei,,24.99,158.0,Author,Paperback – 1 January 2019,,"APOSIMZ, 3",Manga,https://www.amazon.com.au//APOSIMZ-3-Tsutomu-Nihei/dp/194719481X/ref=sr_1_107?qid=1690094918&s=books&sr=1-107
"""When Doc Ido, a talented cyber-physician, finds Alitas head in a junk heap, she has lost all memory of her past life. But when he reconstructs her, she discovers her body still instinctively remembers the Panzer Kunst, the most powerful cyborg fighting technique ever known. In the postapocalyptic world of the Scrapyard, as the secrets of Alitas past unfold, each day is a struggle for survival.""",Yukito Kishiro,,17.7,291.0,Author,"Paperback – Illustrated, 15 December 2012",,Battle Angel Alita Last Order Volume 16,Literature & Fiction,https://www.amazon.com.au//Battle-Angel-Alita-Last-Order/dp/1612622755/ref=sr_1_109?qid=1690094918&s=books&sr=1-109
"DO YOU THINK THIS WORLD HAS A FUTURE? Thanks to Eren\s timely arrival, the 104th has managed to turn the tide at Wall Rose. But this momentary victory forces two more traitors into a corner - and the identity of the Titans who have been destroying the walls is revealed! What can Eren do against the two most dangerous monsters humanity has ever faced? And who else might be an enemy in disguise? ? PRAISE FOR THE HIT ANIME ""A visceral and fantastically intense action/horror story."" - Anime News Network ? ""Japan\s equivalent of The Walking Dead."" - io9",Hajime Isayama,,17.7,1479.0,"Author, Artist",Kindle & comiXology,,Attack on Titan Vol. 11,Comics & Graphic Novels,https://www.amazon.com.au//Attack-Titan-Vol-Hajime-Isayama-ebook/dp/B00G9B1JEA/ref=sr_1_103?qid=1690094918&s=books&sr=1-103
"""A boy with a talent for machines and a the mysterious girl whose wings hes fixed will take you past the ordinary. In the tradition of the high-flying, resonant adventure stories of Studio Ghibli comes a gorgeous tale about the longing of young hearts for adventure and friendship!"", ""Young Theo works as a mechanic, putting his knack for machines to use in the industrialized city where he lives. But when he finds an injured, amnesiac girl with wings, his life changes forever. Her name is Mia, and although Theos talents make quick work of repairing her injured wing, their quest to find her home will take them beyond the clouds and further than they would ever have imagined.""",NICKE,,24.99,106.0,Author,"Paperback – Illustrated, 11 February 2020",,Beyond the Clouds 1,Manga,https://www.amazon.com.au//Beyond-Clouds-1-Nicke/dp/1632369575/ref=sr_1_102?qid=1690094918&s=books&sr=1-102
"FINAL VOLUME IN THE SAGA OF BATTLE ANGEL ALITA!, THE LAST ORDER, ""Ido and Figures long journey ends in Earth orbit, on the space city Ketheres, where they can see the world after the ZOTT with their own eyes. What is it Alita has brought into the universe? After a life of defiance, what meaning has she gained? The science fiction epic that held fans spellbound for more than 20 years finally comes to a conclusion, and the seeds for a new adventure are sown!""",Yukito Kishiro,,17.7,212.0,Author,Paperback – 15 September 2014,,Battle Angel Alita: Last Order 19,Literature & Fiction,https://www.amazon.com.au//Battle-Angel-Alita-Last-Order/dp/1612629202/ref=sr_1_108?qid=1690094918&s=books&sr=1-108
"""The cyber-martial arts saga that has spanned a solar system and over two decades in print returns, with creator Yukito Kishiros new sequel that reveals the true story of Alitas childhood on Mars, and the mind-bending adventures that still await her..."", ""The cyber-martial arts saga that has spanned a solar system and over two decades in print returns, with creator Yukito Kishiros new sequel that reveals the true story of Alitas childhood on Mars, and the mind-bending adventures that still await her..."", RISING FROM RUIN,  , ""Guided by the last note they received from Dass, Erica and Yoko make their way to the Mosby Company in search of Keun the Kaufmann-but promptly learn he is away on business. The girls then track him to the bustling town of Dejah Thoris, and it soon becomes clear they arent the only ones pursuing the mysterious Keun, who seems to be much more than a simple traveling salesman...""",Yukito Kishiro,,22.99,152.0,Author,Paperback – 14 October 2021,,Battle Angel Alita Mars Chronicle 7,Manga,https://www.amazon.com.au//Battle-Angel-Alita-Mars-Chronicle/dp/163236784X/ref=sr_1_106?qid=1690094918&s=books&sr=1-106
"ALITA IS DEAD?! Living out his days in a remote fishing village, Figure Four hears a rumor he cannot bring himself to believe- Alita is dead! The news dredges up old memories, and soon Figure is back wandering a wasteland still scarred by the battle against Barjack, desperately searching for the woman who once loved him. Instead, he\ll stumble upon a village where a doctor named Ido has lost his memories... ""Just a great, kick-ass story."" -James Cameron",Yukito Kishiro,,17.7,201.0,Author,Paperback – 15 May 2016,,Battle Angel Alita: Last Order Volume 18,Literature & Fiction,https://www.amazon.com.au//Battle-Angel-Alita-Lo-18/dp/1612622976/ref=sr_1_105?qid=1690094918&s=books&sr=1-105
"""Own the manga thrill ride that changed global comics and inspired the James Cameron and Robert Rodriguezs cyberpunk action film "", Alita- Battle Angel, ! This new paperback edition features an updated translation in six affordable, 300-page volumes., In a dump in the lawless settlement of Scrapyard, far beneath the mysterious space city of Zalem, disgraced cyber-doctor Daisuke Ido makes a strange find- the detached head of a cyborg woman who has lost all her memories. He names her Alita and equips her with a powerful new body, the Berserker. While Alita remembers no details of her former life, a moment of desperation reawakens in her nerves the legendary school of martial arts known as Panzer Kunst. In a place where there is no justice but what people make for themselves, Alita decides to become a hunter-killer, tracking down and taking out those who prey on the weak. But can she hold onto her humanity as she begins to revel in her own bloodlust?",Yukito Kishiro,,39.69,2232.0,Author,Paperback – 2 November 2021,,Battle Angel Alita 1 (Paperback),Manga,https://www.amazon.com.au//Battle-Angel-Alita-1-Paperback/dp/1646512545/ref=sr_1_97?qid=1690094918&s=books&sr=1-97
"""Dark, disturbing, sexy, and shameful, this new sci-fi action manga stars a dominating teenage girl searching for a sister who became a monster, and a submissive boy with the strange power to turn into a ragged but powerful beast, with a zipper down his back and a compartment on the inside just big enough to hold a human body. Its like Pokemon with a dose of S&M!"", Anime adaptation coming soon!, Dark, disturbing, sexy, and shameful, this new sci-fi action manga stars a dominating teenage girl searching for a sister who became a monster, and a submissive boy with the strange power to turn into a ragged but powerful beast, with a zipper down his back and a compartment on the inside just big enough to hold a human body., POCKET CHANGE, ""Shuichis solved the first part of the mystery behind his bodys transformation, but now he and Claire find themselves thrust into a world stranger and deadlier than they couldve imagined. A bizarre community of monstrous, super-powered eccentrics has formed around the ongoing quest for the transformation-inducing coins--and whether they like it or not, Claire and Shuichi are going to have to pick a side...""",SUN TAKEDA,,24.37,521.0,Author,Paperback – 1 January 2019,,Gleipnir 3,Manga,https://www.amazon.com.au//Gleipnir-3-SUN-TAKEDA/dp/1632367912/ref=sr_1_172?qid=1690094898&s=books&sr=1-172
"Contains Vol. 6-10 of Attack on Titan in an extra-large size, on premium-quality paper!, ""Also includes an exclusive look at Isayamas design work, and an eight-page color crossover with the superheroes of Marvels Avengers!"", The megahit, Attack on Titan, anime finally returns, streaming on April 1!, FACING A NEW TERROR , ""After helping the Garrison to victory, retaking Trost District from the Titans, Eren awakens in a prison cell. He may be a hero to the common people, but among the leaders of humanity, fear of Erens mysterious powers threatens his continued survival. Its only the insistence of the tenacious and pragmatic Erwin Smith, leader of the Survey Corps, that wins Eren a chance- Prove himself outside the Walls, and bring the evidence from his family home back from Titan territory, and the rest of the military will let him live. But soon after the Corps passes through the gate, a new and terrible threat appears - one that Erwin may know more about than hes letting on.""",HAJIME ISAYAMA,,,874.0,Author,"Paperback – Illustrated, 15 October 2015",,Attack On Titan Colossal Edition 2,Manga,https://www.amazon.com.au//Attack-Titan-Colossal-Hajime-Isayama/dp/1632361817/ref=sr_1_174?qid=1690094898&s=books&sr=1-174
"It’s just an everyday apocalypse., Three years ago the aliens invaded Tokyo., Nothing was ever the same again., But after a while, even impending doom starts to feel ordinary.\xa0, The alien menace has been hovering over Tokyo for years, but the Invaders aren’t content to just sit back and loom. One of them has taken to the streets of the city in human disguise in order to observe the locals. He may not be the first, and he certainly won’t be the last., Meanwhile, Kadode Koyama and her friends continue to deal with the peril of upcoming college entrance exams as the stress of studying under the constant threat of annihilation sends some running to safer cities. At least it’s almost Christmas!",Inio Asano,,17.7,252.0,Author,Paperback – 10 August 2018,,"Dead Dead Demon's Dededede Destruction, Vol. 2 (Volume 2)",Manga,https://www.amazon.com.au//Dead-Demons-Dededede-Destruction-Vol/dp/1421599562/ref=sr_1_169?qid=1690094898&s=books&sr=1-169
"The children of the Grace Field House orphanage must escape a macabre fate before it’s too late., Life at Grace Field House is good for Emma and her fellow orphans. While the daily studying and exams they have to take are tough, their loving caretaker provides them with delicious food and plenty of playtime. But perhaps not everything is as it seems…, Norman sets in motion his plan to wipe out the demons as he leads his army into the demon capital. But he’ll need all of his cunning and trickery to have any hope of defeating the most powerful demons in the kingdom, including the queen. Meanwhile, Emma and the other children race to the capital to stop Norman before it’s too late!",Kaiu Shirai,,11.55,1297.0,"Author,","Paperback – Illustrated, 2 December 2020",,"The Promised Neverland, Vol. 17 (Volume 17)",Manga,https://www.amazon.com.au//Promised-Neverland-Vol-17/dp/197471814X/ref=sr_1_171?qid=1690094898&s=books&sr=1-171
"A modern dark fantasy tale set in a world full of vampires and vampire hunters full of romance, hope and action that pops off the page through the wonderful art of a debut artist., Unknownst to the general public vampires are rampant in Tokyo. To control and contain them, the government has developed a program to track and treat rogue vamps who decide to pray on the public. But what happens when vampire and man come together in harmony and love? Will the public accept this or will they try to tear such partnerships apart.",Ryo Hanada,,24.99,394.0,Author,Paperback – 15 August 2017,,"Devils' Line, 8",Literature & Fiction,https://www.amazon.com.au//Devils-Line-8-Ryoh-Hanada/dp/1945054174/ref=sr_1_167?qid=1690094898&s=books&sr=1-167
"""Love is forbidden. When you turn 16, the government will assign your marriage partner."" This dystopian manga about teen love and defiance is a sexy, funny, and dramatic new hit!, WHAT WE DO FOR LOVE ,  , Shuu can no longer deny her feelings for Yajima. How will Yajima respond to this sudden turn of events, especially since he has only just said goodbye to long-unrequited feelings of his own? Meanwhile, Lilina has started to realize that she is in love with Yukari. But she is still determined to find out why Misaki, who she knows loves Yukari from the bottom of her heart, begged her not to annul their government notice. The truth behind Misaki\s ""deal"" will prove more devastating than she could have ever imagined... ,  ,",Musawo,,23.29,20.0,Author,Paperback – 8 March 2022,,Love and Lies 11,Manga,https://www.amazon.com.au//Love-Lies-11-Musawo/dp/1646512243/ref=sr_1_170?qid=1690094898&s=books&sr=1-170
"It’s just an everyday apocalypse., Three years ago the aliens invaded Tokyo., Nothing was ever the same again., But after a while, even impending doom starts to feel ordinary.\xa0, The defense business is booming in Japan, and the amazing Hujin weapons are finally getting their chance to shine. But civilians are fed up with the inconvenience of being collateral damage, and their protest signs are starting to get really pointed! Meanwhile, Kadode has to face up to the realities of living in an apocalypse and not taking her college entrance exams seriously. At least high school is finally over!",Inio Asano,,20.35,189.0,Author,Paperback – 10 November 2018,,"Dead Dead Demon's Dededede Destruction, Vol. 3 (Volume 3)",Manga,https://www.amazon.com.au//Dead-Demons-Dededede-Destruction-Vol/dp/1421599589/ref=sr_1_168?qid=1690094898&s=books&sr=1-168
"About the Author Kaiu Shirai debuted in 2015 with Ashley Gate no Yukue on the Shonen Jump+ website Shirai first worked with Posuka Demizu on the two-shot Poppy no Negai, which was released in February 2016 Posuka Demizu debuted as a manga artist with the 2013 CoroCoro series Oreca Monster Bouken Retsuden A collection of illustrations, The Art of Posuka Demizu, was released in 2016 by PIE International",Kaiu Shirai,,11.55,5565.0,"Author,","Paperback – Illustrated, 10 January 2018",,The Promised Neverland Grace Field House: Volume 1,Manga,https://www.amazon.com.au//Promised-Neverland-Vol-1/dp/1421597128/ref=sr_1_163?qid=1690094898&s=books&sr=1-163
"Sato’s bitten. Samuel T. Owen is in the building. The Battle of Forge Safety, which began when demi-humans who aim to upend Japanese society waltzed into an ambush set by those who would deny them the pleasure, reaches its crescendo and conclusion in this volume.",Sakurai Gamon,,24.99,139.0,"Author, Artist",Kindle & comiXology,,AJIN: Demi-Human Vol. 9,Comics & Graphic Novels,https://www.amazon.com.au//AJIN-Demi-Human-Vol-Sakurai-Gamon-ebook/dp/B06XJ8QQ7D/ref=sr_1_62?qid=1690094881&s=books&sr=1-62
"The blockbuster action manga that inspired the epic anime stampedes towards its climax!, The blockbuster action manga that inspired the epic anime stampedes towards its climax!, MARCHING ONWARD, ""Once hailed as humanitys greatest hope, Eren has since become unrecognizable. With the Attack Titan now morphed into a grotesque, colossal skeleton of its former self, Eren continues to control the wave of Titans laying waste to the world, extinguishing countless homes, towns, and lives in their wake. In order to salvage whats left of humanity, Mikasa, Armin, and the Survey Corps decide to confront Eren head-on. But to stop the Rumbling, theyll have to dedicate much more than their hearts...""",HAJIME ISAYAMA,,13.95,3210.0,Author,Paperback – 21 June 2021,,Attack on Titan 33,Manga,https://www.amazon.com.au//Attack-Titan-33-Hajime-Isayama/dp/1646510267/ref=sr_1_60?qid=1690094881&s=books&sr=1-60
